,player,player_name,team,player_id,agents_count,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,k_max,kills,deaths,assists,first_kills,first_deaths,kills_per_round,assist_per_rd,composite_score
10,aspas,aspas,LEV,8480,3,"['Raze', 'Jett', 'Neon']",407,1.14,220.5,1.19,74.0,146.9,0.8,0.17,0.15,0.1,28.0,16.0,29,326,274,68,61,42,0.8,0.17,132.66
11,zekken,zekken,SEN,4004,3,"['Jett', 'Raze', 'Neon']",361,1.12,252.2,1.17,71.0,161.0,0.89,0.26,0.2,0.18,23.0,27.0,27,323,275,94,73,66,0.89,0.26,141.69
12,TenZ,TenZ,SEN,9,3,"['Omen', 'Gekko', 'Kayo']",361,1.1,213.4,1.08,75.0,139.2,0.75,0.44,0.07,0.09,25.0,5.0,29,271,251,158,27,33,0.75,0.44,111.25
13,Kai,Kai,TE,37494,3,"['Jett', 'Cypher', 'Killjoy']",208,1.1,213.9,1.1,70.0,145.8,0.76,0.17,0.14,0.13,29.0,4.0,25,158,143,36,29,26,0.76,0.17,78.05
14,ZmjjKK,ZmjjKK,EDG,3520,3,"['Neon', 'Raze', 'Jett']",449,1.1,250.8,1.2,69.0,160.6,0.88,0.21,0.23,0.19,24.0,17.0,28,394,329,95,105,85,0.88,0.21,170.57
15,Alfajer,Alfajer,FNC,9810,4,"['Gekko', 'Killjoy', 'Breach', 'Iso']",293,1.09,209.7,1.11,73.0,145.3,0.75,0.23,0.09,0.07,32.0,19.0,25,220,198,68,27,20,0.75,0.23,93.93
16,Autumn,Autumn,FPX,872,2,"['Viper', 'Chamber']",115,1.08,211.8,1.12,71.0,134.5,0.75,0.23,0.17,0.1,32.0,15.0,20,86,77,27,19,11,0.75,0.23,50.66
17,Shyy,Shyy,KRÜ,24007,3,"['Cypher', 'Viper', 'Killjoy']",156,1.07,211.1,1.16,69.0,139.9,0.78,0.26,0.13,0.12,27.0,24.0,23,121,104,40,21,18,0.78,0.26,62.57
18,yetujey,yetujey,FUT,8369,2,"['Cypher', 'Viper']",88,1.07,231.8,1.14,69.0,145.0,0.82,0.18,0.19,0.08,30.0,0.0,19,72,63,16,17,7,0.82,0.18,46.83
19,mindfreak,mindfreak,PRX,9800,3,"['Viper', 'Omen', 'Brimstone']",140,1.06,210.1,1.04,78.0,134.4,0.74,0.41,0.05,0.04,31.0,19.0,22,104,100,58,7,6,0.74,0.41,53.42
